id,name,plnt_typ,gro_trig,nfix_co,days_mat,bm_e,harv_idx,lai_pot,frac_hu1,lai_max1,frac_hu2,lai_max2,hu_lai_decl,dlai_rate,can_ht_max,rt_dp_max,tmp_opt,tmp_base,frac_n_yld,frac_p_yld,frac_n_em,frac_n_50,frac_n_mat,frac_p_em,frac_p_50,frac_p_mat,harv_idx_ws,usle_c_min,stcon_max,vpd,frac_stcon,ru_vpd,co2_hi,bm_e_hi,plnt_decomp,lai_min,bm_tree_acc,yrs_mat,bm_tree_max,ext_co,leaf_tov_mn,leaf_tov_mx,bm_dieoff,rt_st_beg,rt_st_end,plnt_pop1,frac_lai1,plnt_pop2,frac_lai2,frac_sw_gro,aeration,wnd_dead,wnd_flat,description
16,bocu,perennial,temp_gro,0,0,30,0.9,4,0.15,0.01,0.5,0.95,0.8,1,1.5,2,15,0,0.0234,0.0033,0.056,0.021,0.012,0.0099,0.0022,0.0019,0.9,0.003,0.005,4,0.75,8,660,39,0.05,0.75,0.3,30,30,0.65,12,3,0.1,0.4,0.2,22,0.05,40,0.71,0.5,0,0,0,unknown
17,broc,cold_annual,temp_gro,0,90,26,0.8,4.2,0.25,0.23,0.4,0.86,1,0.1,0.5,0.6,18,4,0.0512,0.0071,0.062,0.009,0.007,0.005,0.004,0.003,0.95,0.2,0.006,4,0.75,5,660,30,0.05,0,0,0,0,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,broccoli
18,brom,perennial,temp_gro,0,0,35,0.9,3,0.45,0.02,0.8,0.95,0.85,1,0.8,1.3,25,6,0.0234,0.0033,0.04,0.024,0.016,0.0028,0.0017,0.0011,0.9,0.003,0.005,4,0.75,8,660,45,0.05,2,0.3,2,30,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,meadow_bromegrass
19,bros,perennial,temp_gro,0,0,35,0.9,5,0.15,0.01,0.5,0.95,0.85,1,1.2,2,25,8,0.0234,0.0033,0.04,0.024,0.016,0.0028,0.0017,0.0011,0.9,0.003,0.003,4,0.75,8,660,45,0.05,2,0.3,2,30,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,smooth_bromegrass
20,bsvg,perennial,temp_gro,0,0,34,0.9,1.5,0.05,0.1,0.25,0.7,0.35,1,1,2,25,12,0.016,0.0022,0.02,0.012,0.005,0.0014,0.001,0.0007,0.9,0.003,0.005,4,0.75,10,660,39,0.05,0.15,39,61,74,80,12,3,0,0,0,0,0,0,0,0.5,0,0,0,barren_or_sparsley_vegetated
21,cabg,perennial,temp_gro,0,90,19,0.8,3,0.25,0.23,0.4,0.86,1,0.1,0.5,0.6,18,1,0.0259,0.0031,0.062,0.007,0.004,0.005,0.0035,0.002,0.95,0.2,0.006,4,0.75,5,660,25,0.05,0.75,0.8,1,30,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,cabbage
22,cana,warm_annual,temp_gro,0,100,34,0.3,4.5,0.15,0.02,0.45,0.95,0.5,0.3,1.3,1.4,21,5,0.038,0.0079,0.044,0.0164,0.0128,0.0074,0.0037,0.0023,0.01,0.2,0.006,4,0.75,10,660,40,0.05,0,0,0,0,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,spring_canola_argentine
23,cang,perennial,temp_gro,0,0,35,0.1,5,5,0.17,40,0.9,0.5,1,1,0.2,25,3,0.016,0.0022,0.35,0.015,0.0038,0.0014,0.001,0.0007,0.01,0.001,0.0074,-6.5,1,8,660,54,0.05,0.01,0.3,10,50,0.33,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,canary_grass
24,canp,warm_annual,temp_gro,0,100,34,0.23,3.5,0.15,0.02,0.45,0.95,0.5,1,0.9,0.9,21,5,0.038,0.0079,0.044,0.0164,0.0128,0.0074,0.0037,0.0023,0.01,0.2,0.006,4,0.75,10,660,39,0.05,0,0,0,0,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,spring_canola_polish
25,cant,warm_annual,temp_gro,0,90,30,0.5,3,0.15,0.05,0.5,0.95,0.6,1,0.5,1.2,35,15,0.0138,0.0017,0.0663,0.0255,0.0148,0.0053,0.002,0.0012,0.25,0.03,0.006,4,0.75,3,660,39,0.05,0,0,0,0,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,cantaloupe
26,cash,perennial,temp_gro,0,0,15,0.15,4,0.1,0.15,0.5,0.75,0.99,1,3.5,2,20,7,0.0019,0.0004,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.05,0.001,0.0071,4,0.75,3,660,20,0.05,0.75,0.3,10,50,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,cashews
27,cass,cold_annual,temp_gro,0,0,25,0.95,4,0.15,0.01,0.5,0.95,0.6,1,0.6,0.6,22,7,0.0246,0.0023,0.055,0.02,0.012,0.006,0.0025,0.0019,0.95,0.2,0.005,4,0.75,14.8,660,30,0.05,0,0,0,0,0.65,12,3,0.1,0.4,0.2,0,0,0,0,0.5,0,0,0,cassava
28,cauf,cold_annual,temp_gro,0,90,21,0.8,2.5,0.25,0.23,0.4,0.86,1,0.1,0.5,0.6,18,5,0.0411,0.0059,0.062,0.007,0.004,0.005,0.0035,0.002,0.95,0.2,0.006,4,0.75,5,660,25,0.05,0,0,0,0,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,cauliflower
29,cedr,perennial,temp_gro,0,0,16,0.01,12,20,0.2,99,0.99,0.99,1,12,3.5,30,10,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0,0.001,0.007,-3.5,1,8,660,15,0.05,0.75,0.3,50,100,0.37,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,cedar
30,celr,perennial,temp_gro,0,0,27,0.8,2.5,0.25,0.23,0.4,0.86,1,0.1,0.5,0.6,22,4,0.0199,0.0049,0.062,0.015,0.01,0.006,0.005,0.003,0.95,0.2,0.006,4,0.75,5,660,30,0.05,0.1,0.1,1,20,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,celery
31,clva,perennial,temp_gro,0.5,0,25,0.9,4,0.15,0.01,0.5,0.95,0.75,1,0.9,2,15,1,0.06,0.004,0.06,0.028,0.024,0.006,0.0025,0.0025,0.9,0.003,0.005,4,0.75,10,660,30,0.05,2,0.3,2,30,0.55,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,alsike_clover
