OBJECTID,MUID,SEQN,SNAM,S5ID,CMPPCT,NLAYERS,HYDGRP,SOL_ZMX,ANION_EXCL,SOL_CRK,TEXTURE,SOL_Z1,SOL_BD1,SOL_AWC1,SOL_K1,SOL_CBN1,CLAY1,SILT1,SAND1,ROCK1,SOL_ALB1,USLE_K1,SOL_EC1,SOL_Z2,SOL_BD2,SOL_AWC2,SOL_K2,SOL_CBN2,CLAY2,SILT2,SAND2,ROCK2,SOL_ALB2,USLE_K2,SOL_EC2,SOL_Z3,SOL_BD3,SOL_AWC3,SOL_K3,SOL_CBN3,CLAY3,SILT3,SAND3,ROCK3,SOL_ALB3,USLE_K3,SOL_EC3,SOL_Z4,SOL_BD4,SOL_AWC4,SOL_K4,SOL_CBN4,CLAY4,SILT4,SAND4,ROCK4,SOL_ALB4,USLE_K4,SOL_EC4,SOL_Z5,SOL_BD5,SOL_AWC5,SOL_K5,SOL_CBN5,CLAY5,SILT5,SAND5,ROCK5,SOL_ALB5,USLE_K5,SOL_EC5,SOL_Z6,SOL_BD6,SOL_AWC6,SOL_K6,SOL_CBN6,CLAY6,SILT6,SAND6,ROCK6,SOL_ALB6,USLE_K6,SOL_EC6,SOL_Z7,SOL_BD7,SOL_AWC7,SOL_K7,SOL_CBN7,CLAY7,SILT7,SAND7,ROCK7,SOL_ALB7,USLE_K7,SOL_EC7,SOL_Z8,SOL_BD8,SOL_AWC8,SOL_K8,SOL_CBN8,CLAY8,SILT8,SAND8,ROCK8,SOL_ALB8,USLE_K8,SOL_EC8,SOL_Z9,SOL_BD9,SOL_AWC9,SOL_K9,SOL_CBN9,CLAY9,SILT9,SAND9,ROCK9,SOL_ALB9,USLE_K9,SOL_EC9,SOL_Z10,SOL_BD10,SOL_AWC10,SOL_K10,SOL_CBN10,CLAY10,SILT10,SAND10,ROCK10,SOL_ALB10,USLE_K10,SOL_EC10,SOL_CAL1,SOL_CAL2,SOL_CAL3,SOL_CAL4,SOL_CAL5,SOL_CAL6,SOL_CAL7,SOL_CAL8,SOL_CAL9,SOL_CAL10,SOL_PH1,SOL_PH2,SOL_PH3,SOL_PH4,SOL_PH5,SOL_PH6,SOL_PH7,SOL_PH8,SOL_PH9,SOL_PH10
104,VT055,6,TUNBRIDGE,VT0075,6,4,C,736.5999756,0.5,0.5,STV-FSL-GR--FSL-GR--FSL-U,76.2,1,0.11,220,2.91,7,27.33,65.67,40,0.01,0.2,0,355.6,1.3,0.15,290,2.33,6,34.12,59.88,16.75,0.01,0.2,0,711.2,1.35,0.13,180,0.87,5,34.48,60.52,17.28,0.04,0.2,0,736.6,2.5,0.01,550,0.29,5,25,70,98,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,VT056,14,SHELBURNE,MA0085,3,3,C,1651,0.5,0.5,STV-FSL-FSL-FSL,152.4,1.17,0.09,190,0,5,34.48,60.52,40,0.23,0.2,0,482.6,1.45,0.1,180,0,5,34.48,60.52,30.07,0.23,0.32,0,1651,1.83,0.12,170,0,5,34.48,60.52,10,0.23,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,VT056,20,STOWE,VT0022,1,3,C,1651,0.5,0.5,FSL-FSL-FSL,228.6,0.85,0.19,280,4.36,7.5,27.18,65.32,8.94,0.01,0.24,0,736.6,1,0.14,130,1.45,7.5,27.18,65.32,13.92,0.01,0.32,0,1651,1.7,0.1,78,0.48,8.5,26.89,64.61,26.73,0.09,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,VT059,4,NINIGRET,CT0018,6,3,B,1524,0.5,0.5,FSL-FSL-GRV-COS,203.2,1.13,0.16,180,2.03,7.5,27.18,65.32,6.15,0.01,0.32,0,660.4,1.48,0.13,110,0.68,7.5,27.18,65.32,7.91,0.06,0.37,0,1524,1.58,0.02,550,0.23,1,6.53,92.47,40,0.15,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,VT059,8,WOODSTOCK,VT0021,5,4,D,482.6000061,0.5,0.5,FSL-FSL-LFS-UWB,152.4,0.7,0.2,350,4.07,6.5,27.48,66.03,6.65,0.01,0.24,0,406.4,1.15,0.15,240,1.36,6.5,27.48,66.03,11.73,0.02,0.2,0,457.2,1.5,0.09,650,0.45,3,16.7,80.3,16.59,0.1,0.2,0,482.6,2.5,0.01,850,0.15,5,25,70,98,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,VT059,10,COLRAIN,VT0033,5,3,B,1651,0.5,0.5,FSL-GR--LFS-GR--LFS,152.4,1.13,0.19,350,2.91,5,34.48,60.52,4.41,0.01,0.24,0,838.2,1.23,0.11,300,0.97,5,16.35,78.65,7.27,0.04,0.24,0,1651,1.45,0.09,270,0.32,5,16.35,78.65,14.73,0.12,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,VT059,12,AGAWAM,MA0001,4,5,B,1651,0.5,0.5,FSL-FSL-FSL-GR--S-FS,279.4,1.15,0.16,200,1.74,7,27.33,65.67,3.4,0.01,0.28,0,406.4,1.3,0.13,210,0.58,5.5,34.3,60.2,10.92,0.08,0.37,0,660.4,1.35,0.13,240,0.19,3.5,35.03,61.47,11.3,0.16,0.28,0,1397,1.35,0.03,650,0.06,1.5,1.53,96.97,15.77,0.2,0.17,0,1651,1.4,0.03,700,0.02,0.5,0.64,98.86,10,0.22,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,VT060,4,CABOT,VT0014,8,3,D,1651,0.5,0.5,STV-SIL-GR--SL-GRV-SL,203.2,0.9,0.13,24,4.65,8.5,58.04,33.46,40,0.01,0.28,0,355.6,1.5,0.13,260,1.55,5.5,30.58,63.92,22.58,0.01,0.28,0,1651,1.8,0.1,120,0.52,6.5,30.37,63.13,27.65,0.09,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,VT060,8,POMFRET,VT0030,4,4,A,1498.599976,0.5,0.5,LFS-LS-S-WB,76.2,1.05,0.15,700,2.91,4,16.53,79.47,5.24,0.01,0.17,0,762,1.05,0.12,350,0.97,4,15.98,80.02,8.63,0.04,0.17,0,1473.2,1.2,0.04,550,0.32,3,1.51,95.49,9.64,0.12,0.17,0,1498.6,1.7,0.05,650,0.11,20,40,40,90,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,VT063,6,GLOVER,VT0072,5,4,D,406.3999939,0.5,0.5,STV-SIL-FSL-CN--FSL-UWB,101.6,0.7,0.12,17,2.91,11,56.46,32.54,40,0.01,0.32,0,330.2,0.85,0.14,110,2.33,11,26.15,62.85,13.08,0.01,0.2,0,381,1.4,0.11,93,2.03,11,26.15,62.85,26.05,0.01,0.2,0,406.4,2.5,0.01,350,0.68,5,25,70,98,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
