id,name,frac_imp,frac_dc_imp,curb_den,urb_wash,dirt_max,t_halfmax,conc_totn,conc_totp,conc_no3n,urb_cn,description
1,urhd,0.6000000238418579,0.4399999976158142,0.23999999463558197,0.18000000715255737,225,0.75,550,223,7.199999809265137,98,Residential-High Density
2,urmd,0.3799999952316284,0.30000001192092896,0.23999999463558197,0.18000000715255737,225,0.75,550,223,7.199999809265137,98,Residential-Medium Density
3,urml,0.20000000298023224,0.17000000178813934,0.23999999463558197,0.18000000715255737,225,0.75,460,196,6,98,Residential-Med/Low Density
4,urld,0.11999999731779099,0.10000000149011612,0.23999999463558197,0.18000000715255737,225,0.75,460,196,6,98,Residential-Low Density
5,ucom,0.6700000166893005,0.6200000047683716,0.2800000011920929,0.18000000715255737,200,1.600000023841858,420,240,5.5,98,Commercial
6,uidu,0.8399999737739563,0.7900000214576721,0.14000000059604645,0.18000000715255737,400,2.3499999046325684,430,104,5.599999904632568,98,Industrial
7,utrn,0.9800000190734863,0.949999988079071,0.11999999731779099,0.18000000715255737,340,3.9000000953674316,480,212,6.300000190734863,98,Transportation
8,uins,0.5099999904632568,0.4699999988079071,0.11999999731779099,0.18000000715255737,340,3.9000000953674316,480,212,6.300000190734863,98,Institutional
9,urbn,0.3799999952316284,0.30000001192092896,0.23999999463558197,0.18000000715255737,225,0.75,550,223,7.199999809265137,98,Residential
