ID,NAME,MUID,SEQN,S5ID,CMPPCT,HYDGRP,SOL_ZMX,ANION_EXCL,SOL_CRK,TEXTURE
216,LVx,0,1,0,0,D,1600,0.5,0.5,C
221,VRe,0,1,0,0,D,1450,0.5,0.5,C
